Company,Search Term,Title,Job ID,Location,Posted On,Job URL
Walmart,ai engineer,(USA) Transportation Service Shop Technician III (Truck Mechanic),R-2427365,US TX NEW BRAUNFELS 06716 MAINTENANCE TRUCKING,Posted 22 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-NEW-BRAUNFELS-06716-MAINTENANCE-TRUCKING/XMLNAME--USA--Transportation-Service-Shop-Technician-III--Truck-Mechanic-_R-2427365
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2386867,3 Locations,Posted 3 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Odessa-TX/Exterior-Services-Technician--DOT-Operator----DS_R-2386867-1
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2402142,(USA) TX PROSPER 06300 WM SUPERCENTER,Posted 23 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-PROSPER-06300-WM-SUPERCENTER/Exterior-Services-Technician--DOT-Operator----DS_R-2402142-1
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2411747,"Cedar Park, TX",Posted 10 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Cedar-Park-TX/Exterior-Services-Technician--DOT-Operator----DS_R-2411747-1
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2422598,(USA) TX HOUSTON 03296 WM SUPERCENTER,Posted 27 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-HOUSTON-03296-WM-SUPERCENTER/Exterior-Services-Technician--DOT-Operator----DS_R-2422598-2
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2433304,(USA) TX SILSBEE 00383 WM SUPERCENTER,Posted 16 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-SILSBEE-00383-WM-SUPERCENTER/Exterior-Services-Technician--DOT-Operator----DS_R-2433304-1
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2434634,2 Locations,Posted 15 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-KYLE-04130-WM-SUPERCENTER/Exterior-Services-Technician--DOT-Operator----DS_R-2434634-1
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2434646,2 Locations,Posted 15 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-KYLE-04130-WM-SUPERCENTER/Exterior-Services-Technician--DOT-Operator----DS_R-2434646-1
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2434624,2 Locations,Posted 15 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-KYLE-04130-WM-SUPERCENTER/Exterior-Services-Technician--DOT-Operator----DS_R-2434624-1
Walmart,ai engineer,"Exterior Services Technician, DOT Operator  - DS",R-2438717,(USA) TX HOUSTON 05959 WM SUPERCENTER,Posted 9 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-HOUSTON-05959-WM-SUPERCENTER/Exterior-Services-Technician--DOT-Operator----DS_R-2438717
